"tiempo" "kilos" "sexo"
"1" 6.5813426448919 219.649730654482 "hombre"
"2" 5.70703776705347 189.86838583467 "hombre"
"3" 6.89273250165831 227.810692941586 "hombre"
"4" 5.33370314475749 173.400708527555 "hombre"
"5" 5.77671661672339 198.519618177938 "hombre"
"6" 6.28480306118749 201.166488294526 "hombre"
"7" 4.55514119279294 157.648916347174 "hombre"
"8" 5.56549082833672 180.149499420214 "hombre"
"9" 5.76914865842518 196.830142485955 "hombre"
"10" 5.72222954493128 184.134373627564 "hombre"
"11" 5.98993231607421 202.92159387472 "hombre"
"12" 5.92480888793197 194.172021115179 "hombre"
"13" 5.68593662207802 194.470171456919 "hombre"
"14" 6.66161042596641 218.615357817565 "hombre"
"15" 5.23932471499401 180.233298726509 "hombre"
"16" 5.78128606557165 194.633021014089 "hombre"
"17" 6.4852887897717 215.400841408928 "hombre"
"18" 6.01411132221239 198.120447077675 "hombre"
"19" 5.95710890567362 191.747861632295 "hombre"
"20" 6.19460720249247 206.318329258287 "hombre"
"21" 6.11834368385645 202.720558841225 "mujer"
"22" 5.92777988665296 207.182401067082 "mujer"
"23" 6.36111485040307 212.501636775076 "mujer"
"24" 6.1849534287051 206.60559465053 "mujer"
"25" 5.87896684275911 196.888663898917 "mujer"
"26" 5.26396834078973 172.259187686106 "mujer"
"27" 5.70192022711715 189.865752678551 "mujer"
"28" 5.4266499343907 181.431223178533 "mujer"
"29" 4.76268178347057 164.794887858642 "mujer"
"30" 5.69324571079487 196.957903312908 "mujer"
